,timestamp,trip_count,temp,pressure,wind_speed,rain_1h,humidity,clouds_all,Clear,Clouds,Drizzle,Fog,Haze,Mist,Rain,Smoke,Snow,Thunderstorm,is_weekend,is_holiday,trip_log,is_non_workday,hour,is_rushhour,is_day
164,2018-09-14 00:00:00,323,284.8,1022,3,0.0,67,0,1,0,0,0,0,0,0,0,0,0,0,0,5.780743515792329,0,0,0,0
165,2018-10-14 00:00:00,733,291.51,1007,4,0.0,77,12,0,1,0,0,0,0,0,0,0,0,1,0,6.598509028614515,1,0,0,0
166,2018-11-14 00:00:00,166,283.04,1025,2,0.0,87,56,0,1,0,0,0,0,0,0,0,0,0,0,5.117993812416755,0,0,0,0
167,2018-12-14 00:00:00,392,273.23,1021,3,0.0,74,75,0,1,0,0,0,0,0,0,0,0,0,0,5.973809611869261,0,0,0,0
168,2018-01-15 00:00:00,114,277.91,1013,4,0.0,70,90,0,1,0,0,0,0,0,0,0,0,0,0,4.74493212836325,0,0,0,0
169,2018-02-15 00:00:00,51,280.02,1001,6,0.3,87,90,0,0,1,0,0,0,1,0,0,0,0,0,3.9512437185814275,0,0,0,0
170,2018-03-15 00:00:00,127,281.82,992,5,0.3,70,68,0,0,0,0,0,0,1,0,0,0,0,0,4.852030263919617,0,0,0,0
171,2018-04-15 00:00:00,479,282.7,1014,3,0.0,81,75,0,0,0,0,1,1,0,0,0,0,1,0,6.173786103901937,1,0,0,0
172,2018-05-15 00:00:00,200,284.51,1021,2,0.0,54,0,1,0,0,0,0,0,0,0,0,0,0,0,5.303304908059076,0,0,0,0
173,2018-06-15 00:00:00,391,287.33,1016,2,0.0,55,32,0,1,0,0,0,0,0,0,0,0,0,0,5.971261839790462,0,0,0,0
174,2018-07-15 00:00:00,846,290.59,1018,2,0.0,60,0,1,0,0,0,0,0,0,0,0,0,1,0,6.741700694652055,1,0,0,0
